#
# Deviation between value of the quadratic objective function
# using an optimal lp point and using an optimal qp point with
# different "sparsity" settings.
#
# The columns from left to right:
#    h: percent of zeroes in H
#    b: percent of zeroes in b
#  dev: deviation
#
h     b     dev

0     0     4.362074
0     5     4.393823
0     10    4.368226
0     15    4.461904
0     20    4.426942
0     25    4.361648
0     30    4.429247
0     35    4.445498
0     40    4.394124
0     45    4.393882
0     50    4.396937
0     55    4.371384
0     60    4.344097
0     65    4.495120
0     70    4.497991
0     75    4.428966
0     80    4.319129
0     85    4.343364
0     90    4.489723
0     95    4.365964
5     0     4.177970
5     5     4.144598
5     10    4.195245
5     15    4.143903
5     20    4.142232
5     25    4.229640
5     30    4.166081
5     35    4.140438
5     40    4.228340
5     45    4.165279
5     50    4.103812
5     55    4.202454
5     60    4.234109
5     65    4.103643
5     70    4.207905
5     75    4.267151
5     80    4.163381
5     85    4.113964
5     90    4.228523
5     95    4.237948
10    0     3.978767
10    5     3.926850
10    10    3.983953
10    15    3.917716
10    20    3.935823
10    25    3.903841
10    30    3.893700
10    35    3.974120
10    40    4.012084
10    45    3.929821
10    50    4.054943
10    55    3.994562
10    60    3.893908
10    65    3.961761
10    70    3.907312
10    75    4.111740
10    80    3.897365
10    85    3.991651
10    90    3.864829
10    95    3.881787
15    0     3.790135
15    5     3.745458
15    10    3.677778
15    15    3.712543
15    20    3.761595
15    25    3.747400
15    30    3.731820
15    35    3.743436
15    40    3.772117
15    45    3.739716
15    50    3.740803
15    55    3.689917
15    60    3.713253
15    65    3.698107
15    70    3.712153
15    75    3.863420
15    80    3.775438
15    85    3.728571
15    90    3.765429
15    95    4.153170
20    0     3.514772
20    5     3.429028
20    10    3.515669
20    15    3.490351
20    20    3.447699
20    25    3.504181
20    30    3.436339
20    35    3.499260
20    40    3.492261
20    45    3.571360
20    50    3.472704
20    55    3.470363
20    60    3.410750
20    65    3.469266
20    70    3.546698
20    75    3.517397
20    80    3.560769
20    85    3.502640
20    90    3.478530
20    95    3.685979
25    0     3.252721
25    5     3.235359
25    10    3.277471
25    15    3.274420
25    20    3.297201
25    25    3.335376
25    30    3.297589
25    35    3.249537
25    40    3.320437
25    45    3.312366
25    50    3.158025
25    55    3.317180
25    60    3.249394
25    65    3.288099
25    70    3.167930
25    75    3.154380
25    80    3.245326
25    85    3.286360
25    90    3.338271
25    95    3.043417
30    0     3.059302
30    5     3.101952
30    10    3.076452
30    15    3.029170
30    20    3.056395
30    25    3.062340
30    30    3.042111
30    35    3.069851
30    40    3.070081
30    45    3.049251
30    50    3.022627
30    55    3.119404
30    60    3.036318
30    65    3.148087
30    70    3.050344
30    75    3.085042
30    80    3.046177
30    85    3.041525
30    90    3.057308
30    95    3.112408
35    0     2.856807
35    5     2.785898
35    10    2.894305
35    15    2.791241
35    20    2.810429
35    25    2.862000
35    30    2.814156
35    35    2.870459
35    40    2.814563
35    45    2.799153
35    50    2.826476
35    55    2.849347
35    60    2.906396
35    65    2.766721
35    70    2.784757
35    75    2.946674
35    80    2.885135
35    85    2.789484
35    90    2.984500
35    95    2.784980
40    0     2.619249
40    5     2.537297
40    10    2.594222
40    15    2.621944
40    20    2.648465
40    25    2.625729
40    30    2.648197
40    35    2.652535
40    40    2.629960
40    45    2.608210
40    50    2.566360
40    55    2.639696
40    60    2.663168
40    65    2.608262
40    70    2.518129
40    75    2.615218
40    80    2.615363
40    85    2.517234
40    90    2.620997
40    95    2.565503
45    0     2.410997
45    5     2.381876
45    10    2.414045
45    15    2.382541
45    20    2.415628
45    25    2.444771
45    30    2.411707
45    35    2.382878
45    40    2.399945
45    45    2.377498
45    50    2.386439
45    55    2.450025
45    60    2.352087
45    65    2.456451
45    70    2.433287
45    75    2.405433
45    80    2.383018
45    85    2.157565
45    90    2.280373
45    95    2.525482
50    0     2.158985
50    5     2.140186
50    10    2.215701
50    15    2.158982
50    20    2.141676
50    25    2.116668
50    30    2.169755
50    35    2.126673
50    40    2.175826
50    45    2.197179
50    50    2.071872
50    55    2.125143
50    60    2.284030
50    65    2.069325
50    70    2.244600
50    75    2.100458
50    80    2.186206
50    85    2.187066
50    90    2.254538
50    95    2.180763
55    0     1.957899
55    5     1.965479
55    10    1.949987
55    15    1.909954
55    20    1.990276
55    25    1.965951
55    30    1.977030
55    35    1.984411
55    40    1.902050
55    45    2.001064
55    50    1.932529
55    55    1.984695
55    60    1.954200
55    65    1.916174
55    70    1.917881
55    75    1.985743
55    80    1.996330
55    85    1.954339
55    90    2.143030
55    95    1.821965
60    0     1.719824
60    5     1.723859
60    10    1.759786
60    15    1.780024
60    20    1.717856
60    25    1.760029
60    30    1.717454
60    35    1.703696
60    40    1.762784
60    45    1.746919
60    50    1.671950
60    55    1.752547
60    60    1.722698
60    65    1.738526
60    70    1.667156
60    75    1.754682
60    80    1.757199
60    85    1.664295
60    90    1.709549
60    95    1.918236
65    0     1.475542
65    5     1.477080
65    10    1.492523
65    15    1.468579
65    20    1.469791
65    25    1.555645
65    30    1.508922
65    35    1.512036
65    40    1.525991
65    45    1.489397
65    50    1.521217
65    55    1.543982
65    60    1.549178
65    65    1.533158
65    70    1.538766
65    75    1.531291
65    80    1.514235
65    85    1.497002
65    90    1.676596
65    95    1.442016
70    0     1.233567
70    5     1.266479
70    10    1.289897
70    15    1.274981
70    20    1.253003
70    25    1.295617
70    30    1.310429
70    35    1.290142
70    40    1.249394
70    45    1.239853
70    50    1.262158
70    55    1.247097
70    60    1.308457
70    65    1.196474
70    70    1.306270
70    75    1.249602
70    80    1.250598
70    85    1.301041
70    90    1.338113
70    95    1.377694
75    0     1.096554
75    5     1.093369
75    10    1.062823
75    15    1.040549
75    20    1.056753
75    25    1.052007
75    30    1.048730
75    35    1.014680
75    40    1.104358
75    45    1.057582
75    50    1.096764
75    55    1.005752
75    60    1.132416
75    65    1.095406
75    70    1.058379
75    75    1.043963
75    80    1.106936
75    85    1.114988
75    90    1.027513
75    95    1.045295
80    0     0.848945
80    5     0.866931
80    10    0.863903
80    15    0.849520
80    20    0.863597
80    25    0.833117
80    30    0.845462
80    35    0.815269
80    40    0.853954
80    45    0.830785
80    50    0.864913
80    55    0.848028
80    60    0.839214
80    65    0.865215
80    70    0.795378
80    75    0.920750
80    80    0.804848
80    85    0.881978
80    90    1.008787
80    95    0.968785
85    0     0.632711
85    5     0.643421
85    10    0.618244
85    15    0.676717
85    20    0.627013
85    25    0.653673
85    30    0.654253
85    35    0.664552
85    40    0.622439
85    45    0.652735
85    50    0.580924
85    55    0.600095
85    60    0.647559
85    65    0.651817
85    70    0.591207
85    75    0.650190
85    80    0.634001
85    85    0.638219
85    90    0.720806
85    95    0.604401
90    0     0.436718
90    5     0.416608
90    10    0.430806
90    15    0.422116
90    20    0.418822
90    25    0.417868
90    30    0.430495
90    35    0.421636
90    40    0.416890
90    45    0.439967
90    50    0.440319
90    55    0.445421
90    60    0.444412
90    65    0.456962
90    70    0.425196
90    75    0.398856
90    80    0.404705
90    85    0.452831
90    90    0.499888
90    95    0.288249
95    0     0.203324
95    5     0.205659
95    10    0.202707
95    15    0.206301
95    20    0.208358
95    25    0.217638
95    30    0.234657
95    35    0.217409
95    40    0.205452
95    45    0.200090
95    50    0.205163
95    55    0.225523
95    60    0.210720
95    65    0.225311
95    70    0.223501
95    75    0.213489
95    80    0.201244
95    85    0.242792
95    90    0.221793
95    95    0.211026
